id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,geohash
257698037796,37,Cafe Crepe,26468,IT,Milan,45.533,9.171,11100000
25769803831,56,The Waffle House,72230,FR,Paris,48.873,2.305,11100000
85899345988,69,Dragonfly Cafe,18952,NL,Amsterdam,52.392,4.911,11100000
111669149758,63,Cafe Paris,84488,NL,Amsterdam Zuidoost,52.310,4.942,11100000
163208757268,21,The Lazy Daisy,96638,US,Columbus,40.115,-83.015,10011010
154618822662,7,Cafe Roma,41484,US,Tatum,33.382,-103.395,10001101
163208757290,43,The Food House,96638,IT,Milan,45.474,9.224,11100000
266287972361,10,The Golden Spoon,11263,US,Marina,36.684,-121.792,10001110
171798691894,55,The Steak House,65939,GB,London,51.502,0.000,10110101
197568495640,25,The Cozy Cafe,24784,US,Oskaloosa,41.324,-92.646,10001111
163208757306,59,Azalea Cafe,96638,FR,Paris,48.871,2.294,11100000
42,43,The Food House,47732,AT,Vienna,48.163,16.340,11100000
23,24,The Fisherman's Catch,47732,ES,Barcelona,41.396,2.163,11001010
51539607572,21,The Lazy Daisy,6934,ES,Barcelona,41.387,2.174,11001010
257698037775,16,The Spice Tree,26468,US,Morgantown,39.631,-79.956,10011010
188978561036,13,The Firehouse,3642,US,Atlantic Beach,34.701,-76.747,10011010
77309411367,40,Crimson Cafe,78190,AT,Vienna,48.213,16.357,11100000
128849018902,23,The Hungry Pig,5679,ES,Barcelona,41.389,2.171,11001010
223338299392,1,Savoria,36937,US,Washington,13.368,100.987,11010010
103079215115,12,The Wooden Spoon,4340,US,Blythewood,34.214,-80.974,10011010
77309411392,65,Chef's Corner,78190,GB,Paddington,51.514,-0.177,10110101
25769803840,65,Chef's Corner,72230,GB,London,51.525,-0.077,10110101
8589934620,29,The Olive Branch,12630,US,Baraboo,43.479,-89.769,10011010
154618822685,30,The Wine Cellar,41484,US,Auburn,42.200,-71.841,10011010
249108103202,35,Basilica Bistro,55897,ES,Barcelona,41.396,2.182,11001010
128849018940,61,Blue Water Bistro,5679,FR,Paris,48.879,2.285,11100000
214748364840,41,The Daily Bread,92040,AT,Vienna,48.195,16.383,11100000
34359738417,50,The Pancake House,50333,US,Irving,48.869,2.283,11100000
257698037779,20,The Brasserie,26468,US,Laramie,41.325,-105.617,10001111
120259084320,33,The Blue Elephant,59829,US,Portland,47.939,1.893,11100000
